City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Rio Grande,BR,2021-07-25 19:24:39,-32.035,-52.0986,73.51,83,45,8.63
99,Olutanga,PH,2021-07-25 19:23:16,7.3106,122.8464,83.73,74,87,10.47
100,Pedernales,DO,2021-07-25 19:27:28,18.0384,-71.744,83.86,73,53,7.29
101,Thinadhoo,MV,2021-07-25 19:27:28,0.5333,72.9333,82.18,69,42,2.01
102,Comodoro Rivadavia,AR,2021-07-25 19:27:28,-45.8667,-67.5,49.86,40,20,13.8
103,Sisimiut,GL,2021-07-25 19:24:59,66.9395,-53.6735,44.02,76,100,5.17
104,Mwinilunga,ZM,2021-07-25 19:27:29,-11.7358,24.4293,58.12,44,0,7.25
105,Port Alfred,ZA,2021-07-25 19:27:29,-33.5906,26.891,61.18,45,66,11.88
106,Sulina,RO,2021-07-25 19:27:30,45.1559,29.6536,72.1,60,0,4.92
107,Lebu,CL,2021-07-25 19:27:30,-37.6167,-73.65,52.77,86,36,3.49
108,Nchelenge,ZM,2021-07-25 19:27:30,-9.3451,28.734,64.74,47,1,7.9
109,High Rock,BS,2021-07-25 19:27:31,26.6208,-78.2833,86.02,73,100,11.95
110,Buin,CL,2021-07-25 19:27:31,-33.7333,-70.75,62.92,40,4,6.31
111,Oranjemund,NA,2021-07-25 19:27:31,-28.55,16.4333,65.03,28,100,3.71
112,Egvekinot,RU,2021-07-25 19:27:32,66.3167,-179.1667,44.37,91,100,1.54
113,Jilove U Prahy,CZ,2021-07-25 19:27:32,49.8955,14.4933,73.78,74,100,2.28
114,Brufut,GM,2021-07-25 19:27:32,13.3814,-16.7518,84.29,65,40,8.05
115,Avarua,CK,2021-07-25 19:27:33,-21.2078,-159.775,71.65,100,75,2.3
116,Faanui,PF,2021-07-25 19:27:33,-16.4833,-151.75,78.04,67,0,14.67
117,Rabat,MA,2021-07-25 19:27:33,33.9911,-6.8401,74.05,82,20,10.36
118,Daru,PG,2021-07-25 19:27:34,-9.0763,143.2092,76.62,82,69,13.58
119,Hanyang,CN,2021-07-25 19:27:34,32.1371,105.5126,69.73,93,0,2.51
120,Whyalla,AU,2021-07-25 19:27:34,-33.0333,137.5833,48.09,93,0,10.36
121,Sinegorye,RU,2021-07-25 19:27:35,62.0788,150.477,56.35,95,100,3.36
122,Areia Branca,BR,2021-07-25 19:27:35,-4.9561,-37.1369,91.6,65,22,18.25
123,Fuyang,CN,2021-07-25 19:27:35,32.9,115.8167,75.43,86,64,6.33
124,Liuzhou,CN,2021-07-25 19:27:36,24.3126,109.3892,80.64,80,48,3.42
125,La Primavera,CO,2021-07-25 19:27:36,5.4906,-70.4092,78.84,78,94,6.13
126,Gat,IL,2021-07-25 19:27:36,31.61,34.7642,82.81,76,1,8.23
127,Corn Island,NI,2021-07-25 19:27:37,12.1694,-83.0418,81.1,80,85,11.92
128,Qaqortoq,GL,2021-07-25 19:27:37,60.7167,-46.0333,59.5,64,99,4.45
129,Jati,PK,2021-07-25 19:27:37,24.3539,68.2671,84.33,75,100,19.24
130,Vestmannaeyjar,IS,2021-07-25 19:27:38,63.4427,-20.2734,52.79,87,75,20.71
131,Severo-Kurilsk,RU,2021-07-25 19:27:38,50.6789,156.125,53.98,99,81,5.03
132,Orem,US,2021-07-25 19:27:38,40.2969,-111.6946,97.23,28,1,1.01
133,Cidreira,BR,2021-07-25 19:27:39,-30.1811,-50.2056,71.89,60,0,10.2
134,Lokosovo,RU,2021-07-25 19:27:39,61.1333,74.8167,55.27,98,100,12.53
135,Havoysund,NO,2021-07-25 19:27:39,70.9963,24.6622,47.28,74,100,8.21
136,Dharchula,IN,2021-07-25 19:27:40,29.85,80.5333,76.1,97,100,0.98
137,Porbandar,IN,2021-07-25 19:27:40,21.6422,69.6093,80.91,83,100,16.26
138,Ancud,CL,2021-07-25 19:27:40,-41.8697,-73.8203,49.53,61,24,11.03
139,Chokurdakh,RU,2021-07-25 19:27:41,70.6333,147.9167,38.5,73,1,10.0
140,Eureka,US,2021-07-25 19:27:41,40.8021,-124.1637,62.26,79,100,7.0
141,Hasaki,JP,2021-07-25 19:27:42,35.7333,140.8333,75.6,79,8,15.21
142,Goderich,CA,2021-07-25 19:27:42,43.7501,-81.7165,83.03,73,1,9.22
143,Evensk,RU,2021-07-25 19:27:42,61.95,159.2333,48.58,99,100,7.7
144,Kawalu,ID,2021-07-25 19:27:43,-7.3817,108.2082,66.49,97,23,1.28
145,Ust-Kan,RU,2021-07-25 19:27:43,50.9276,84.761,56.5,85,100,3.85
146,Longyearbyen,SJ,2021-07-25 19:27:43,78.2186,15.6401,44.44,87,75,10.36
147,Beringovskiy,RU,2021-07-25 19:27:44,63.05,179.3167,51.6,90,100,1.43
148,Krasnoselkup,RU,2021-07-25 19:27:44,65.7,82.4667,54.45,90,32,6.04
149,Adrar,MR,2021-07-25 19:27:44,20.5022,-10.0711,104.68,7,24,8.68
150,Haimen,CN,2021-07-25 19:27:45,23.1935,116.6142,84.09,86,46,8.97
151,Kyra,RU,2021-07-25 19:27:45,49.5776,111.9753,50.54,90,9,5.32
152,Pevek,RU,2021-07-25 19:27:46,69.7008,170.3133,34.74,91,100,8.23
153,General Pico,AR,2021-07-25 19:27:46,-35.6566,-63.7568,58.96,35,67,9.22
154,Zhigansk,RU,2021-07-25 19:27:46,66.7697,123.3711,57.85,65,54,8.81
155,Grindavik,IS,2021-07-25 19:27:47,63.8424,-22.4338,50.56,87,75,27.63
156,Nouadhibou,MR,2021-07-25 19:27:47,20.931,-17.0347,71.58,88,10,20.71
157,Tilichiki,RU,2021-07-25 19:27:47,60.4667,166.1,52.65,99,100,4.36
